2021-10-24 17:09:53 | INFO | fairseq_cli.generate | Namespace(all_gather_list_size=16384, batch_size=64, batch_size_valid=64, beam=5, bf16=False, bpe='sentencepiece', broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', constraints=None, cpu=False, criterion='cross_entropy', curriculum=0, data='/mnt/Machine-Translation/processed/gu/gu-en', data_buffer_size=10, dataset_impl=None, ddp_backend='c10d', decoding_format=None, device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_port=-1, distributed_rank=0, distributed_world_size=1, distributed_wrapper='DDP', diverse_beam_groups=-1, diverse_beam_strength=0.5, diversity_rate=-1.0, empty_cache_freq=0, eval_bleu=False, eval_bleu_args=None, eval_bleu_detok='space', eval_bleu_detok_args=None, eval_bleu_print_samples=False, eval_bleu_remove_bpe=None, eval_tokenized_bleu=False, fast_stat_sync=False, find_unused_parameters=False, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', iter_decode_eos_penalty=0.0, iter_decode_force_max_iter=False, iter_decode_max_iter=10, iter_decode_with_beam=1, iter_decode_with_external_reranker=False, langs='ar_AR,cs_CZ,de_DE,en_XX,es_XX,et_EE,fi_FI,fr_XX,gu_IN,hi_IN,it_IT,ja_XX,kk_KZ,ko_KR,lt_LT,lv_LV,my_MM,ne_NP,nl_XX,ro_RO,ru_RU,si_LK,tr_TR,vi_VN,zh_CN', left_pad_source='True', left_pad_target='False', lenpen=1, lm_path=None, lm_weight=0.0, load_alignments=False, localsgd_frequency=3, log_format=None, log_interval=100, lr_scheduler='fixed', lr_shrink=0.1, match_source_len=False, max_len_a=0, max_len_b=200, max_source_positions=1024, max_target_positions=1024, max_tokens=None, max_tokens_valid=None, memory_efficient_bf16=False, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', model_parallel_size=1, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, no_seed_provided=False, nprocs_per_node=1, num_batch_buckets=0, num_shards=1, num_workers=1, optimizer=None, path='/mnt/Machine-Translation/no_transfer/checkpoint_best.pt', pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, prefix_size=0, prepend_bos=False, print_alignment=False, print_step=False, profile=False, quantization_config_path=None, quiet=False, remove_bpe='sentencepiece', replace_unk=None, required_batch_size_multiple=8, required_seq_len_multiple=1, results_path=None, retain_dropout=False, retain_dropout_modules=None, retain_iter_history=False, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, scoring='bleu', seed=1, sentencepiece_model='/mnt/mbart.cc25.v2/sentence.bpe.model', shard_id=0, skip_invalid_size_inputs_valid_test=False, slowmo_algorithm='LocalSGD', slowmo_momentum=None, source_lang='gu_IN', target_lang='en_XX', task='translation_from_pretrained_bart', temperature=1.0, tensorboard_logdir=None, threshold_loss_scale=None, tokenizer=None, tpu=False, train_subset='train', truncate_source=False, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, valid_subset='valid', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, warmup_updates=0, zero_sharding='none')
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [gu_IN] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [en_XX] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.gu_IN
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.en_XX
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | /mnt/Machine-Translation/processed/gu/gu-en test gu_IN-en_XX 930 examples
2021-10-24 17:09:55 | INFO | fairseq_cli.generate | loading model(s) from /mnt/Machine-Translation/no_transfer/checkpoint_best.pt
S-315	đôngminh[gu_IN]
S-73	સૂરણ[gu_IN]
T-73	amorphophalluspaeoniifolius
H-73	-0.3785594403743744	
D-73	-0.3785594403743744	
P-73	-0.0068 -0.7504
S-317	પ્રાણીશાસ્ત્ર[gu_IN]
T-317	zoology
H-317	-0.47726771235466003	
D-317	-0.47726771235466003	
P-317	-0.0063 -0.9482
S-906	ડિસેમ્બર૧૪[gu_IN]
T-906	december14
H-906	-1.2268288135528564	૧૪
D-906	-1.2268288135528564	૧૪
P-906	-0.0070 -1.5844 -4.2425 -0.1836 -0.1166
S-171	યુરોપ[gu_IN]
T-171	europe
H-171	-0.6700774431228638	
D-171	-0.6700774431228638	
P-171	-0.0067 -1.3334
S-380	પેશવા[gu_IN]
T-380	peshwa
H-380	-0.21806180477142334	
D-380	-0.21806180477142334	
P-380	-0.0076 -0.4285
S-458	મલાડ[gu_IN]
T-458	malad
H-458	-0.684016764163971	
D-458	-0.684016764163971	
P-458	-0.0075 -1.3605
S-206	નવેમ્બર૨૧[gu_IN]
T-206	november21
H-206	-0.6707658171653748	૨૧
D-206	-0.6707658171653748	૨૧
P-206	-0.0072 -2.4869 -0.5039 -0.1410 -0.2149
S-188	ગોએર[gu_IN]
T-188	goair
H-188	-0.7717703580856323	
D-188	-0.7717703580856323	
P-188	-0.0070 -1.5365
S-833	નવેમ્બર૭[gu_IN]
T-833	november7
H-833	-1.36298668384552	
D-833	-1.36298668384552	
P-833	-0.0066 -2.7194
S-79	વાલોડ[gu_IN]
T-79	valod
H-79	-0.4460887312889099	
D-79	-0.4460887312889099	
P-79	-0.0070 -0.8852
S-391	થરાદ[gu_IN]
T-391	tharad
H-391	-0.5376228094100952	
D-391	-0.5376228094100952	
P-391	-0.0077 -1.0675
S-596	તલવાર[gu_IN]
T-596	sword
H-596	-1.6401362419128418	ગુજરાતી: તલવાર
D-596	-1.6401362419128418	ગુજરાતી:તલવાર
P-596	-0.0072 -6.5315 -2.4085 -2.8991 -0.9744 -0.2086 -0.0029 -0.0889
S-136	શકુની[gu_IN]
T-136	shakuni
H-136	-0.6822398900985718	
D-136	-0.6822398900985718	
P-136	-0.0071 -1.3574
S-827	સપ્ટેમ્બર૨૮[gu_IN]
T-827	september28
H-827	-0.43305468559265137	૨૮
D-827	-0.43305468559265137	૨૮
P-827	-0.0069 -1.6500 -0.2903 -0.1325 -0.0857
S-723	લવિંગ[gu_IN]
T-723	clove
H-723	-0.4675581753253937	
D-723	-0.4675581753253937	
P-723	-0.0068 -0.9283
S-505	માર્ચ૧૪[gu_IN]
T-505	march14
H-505	-1.3941478729248047	
D-505	-1.3941478729248047	
P-505	-0.0068 -2.7815
S-756	માલવણ[gu_IN]
T-756	malwan
H-756	-0.5270337462425232	
D-756	-0.5270337462425232	
P-756	-0.0072 -1.0469
S-565	ઈંદોર[gu_IN]
T-565	indore
H-565	-0.6565999388694763	
D-565	-0.6565999388694763	
P-565	-0.0074 -1.3058
S-170	ટર્કી[gu_IN]
T-170	turkey
H-170	-0.6090443730354309	
D-170	-0.6090443730354309	
P-170	-0.0077 -1.2103
S-176	પેરિસ[gu_IN]
T-176	paris
H-176	-0.5713351964950562	
D-176	-0.5713351964950562	
P-176	-0.0070 -1.1357
S-266	રુથ[gu_IN]
T-266	ruth
H-266	-1.101884365081787	
D-266	-1.101884365081787	
P-266	-0.0072 -2.1966
S-572	બ્રસેલ્સ[gu_IN]
T-572	brussels
H-572	-1.4043796062469482	
D-572	-1.4043796062469482	
P-572	-0.0067 -2.8020
S-140	દૌસા[gu_IN]
T-140	dausa
H-140	-0.2662407457828522	
D-140	-0.2662407457828522	
P-140	-0.0071 -0.5253
S-569	ગુયાના[gu_IN]
T-569	guyana
H-569	-0.5904250741004944	
D-569	-0.5904250741004944	
P-569	-0.0068 -1.1741
S-75	ધોતીયું[gu_IN]
T-75	dhoti
H-75	-1.1487581729888916	
D-75	-1.1487581729888916	
P-75	-0.0074 -2.2902
S-774	રાયપુર[gu_IN]
T-774	raipur
H-774	-0.9754317402839661	
D-774	-0.9754317402839661	
P-774	-0.0076 -1.9433
S-369	મુલુંડ[gu_IN]
T-369	mulund
H-369	-0.7598341107368469	
D-369	-0.7598341107368469	
P-369	-0.0062 -1.5135
S-884	ઇરવન[gu_IN]
T-884	iravan
H-884	-0.6385105848312378	
D-884	-0.6385105848312378	
P-884	-0.0072 -1.2698
S-243	કનોજ[gu_IN]
T-243	kanoj
H-243	-1.4943722486495972	ગુજરાતી ભાષાનોજ
D-243	-1.4943722486495972	ગુજરાતીભાષાનોજ
P-243	-0.0076 -4.2467 -3.7557 -0.9844 -1.0546 -0.0018 -0.4099
S-648	રામાયણ[gu_IN]
T-648	ramayana
H-648	-0.7137767672538757	
D-648	-0.7137767672538757	
P-648	-0.0078 -1.4197
S-873	અંગિરસ[gu_IN]
T-873	angiras
H-873	-0.5376229882240295	
D-873	-0.5376229882240295	
P-873	-0.0073 -1.0679
S-279	શિન્તો[gu_IN]
T-279	shinto
H-279	-0.6756707429885864	
D-279	-0.6756707429885864	
P-279	-0.0071 -1.3443
S-466	ચંદીયા[gu_IN]
T-466	chandiya
H-466	-0.4485261142253876	
D-466	-0.4485261142253876	
P-466	-0.0069 -0.8901
S-11	તિલક[gu_IN]
T-11	tilaka
H-11	-0.2832627594470978	
D-11	-0.2832627594470978	
P-11	-0.0075 -0.5590
S-156	પુરાણો[gu_IN]
T-156	puranas
H-156	-1.4500426054000854	
D-156	-1.4500426054000854	
P-156	-0.0073 -2.8928
S-385	સબસ્ટબ[gu_IN]
T-385	substub
H-385	-0.4214177131652832	
D-385	-0.4214177131652832	
P-385	-0.0064 -0.8364
S-347	જખૌ[gu_IN]
T-347	jakhau
H-347	-0.45921197533607483	
D-347	-0.45921197533607483	
P-347	-0.0070 -0.9114
S-69	અલોંગ[gu_IN]
T-69	aalo
H-69	-0.475225031375885	
D-69	-0.475225031375885	
P-69	-0.0069 -0.9436
S-619	મે૨૨[gu_IN]
T-619	may22
H-619	-0.7806747555732727	૨૨
D-619	-0.7806747555732727	૨૨
P-619	-0.0070 -2.8330 -0.3412 -0.5362 -0.1860
S-623	સપ્ટેમ્બર૨૫[gu_IN]
T-623	september25
H-623	-0.5423043966293335	૨૫
D-623	-0.5423043966293335	૨૫
P-623	-0.0072 -1.8057 -0.4581 -0.2379 -0.2026
S-134	નમિનાથ[gu_IN]
T-134	naminatha
H-134	-0.9250897765159607	
D-134	-0.9250897765159607	
P-134	-0.0076 -1.8426
S-862	સપ્ટેમ્બર૨૬[gu_IN]
T-862	september26
H-862	-0.38217464089393616	૨૬
D-862	-0.38217464089393616	૨૬
P-862	-0.0070 -1.4281 -0.2922 -0.0655 -0.1181
S-257	લાપસી[gu_IN]
T-257	kansar
H-257	-0.5001515746116638	
D-257	-0.5001515746116638	
P-257	-0.0068 -0.9935
S-667	કીટલી[gu_IN]
T-667	kettle
H-667	-0.27055543661117554	
D-667	-0.27055543661117554	
P-667	-0.0078 -0.5333
S-795	મે૨૭[gu_IN]
T-795	may27
H-795	-0.5731370449066162	૨૭
D-795	-0.5731370449066162	૨૭
P-795	-0.0069 -2.2601 -0.2497 -0.1928 -0.1563
S-92	નિતલી[gu_IN]
T-92	nitli
H-92	-0.5858921408653259	
D-92	-0.5858921408653259	
P-92	-0.0070 -1.1648
S-913	બુંદી[gu_IN]
T-913	bundi
H-913	-0.6408554315567017	
D-913	-0.6408554315567017	
P-913	-0.0071 -1.2746
S-118	સોમવાર[gu_IN]
T-118	monday
H-118	-1.474281668663025	મંગળવાર મંગળવાર
D-118	-1.474281668663025	મંગળવારમંગળવાર
P-118	-0.0068 -6.7869 -0.3143 -2.5445 -0.0930 -0.0271 -0.5474
S-172	ઓગસ્ટ૧૨[gu_IN]
T-172	august12
H-172	-1.0383213758468628	૧૨
D-172	-1.0383213758468628	૧૨
P-172	-0.0071 -1.5256 -3.3902 -0.1545 -0.1143
S-233	ફરેડા[gu_IN]
T-233	fareda
H-233	-0.5006166100502014	
D-233	-0.5006166100502014	
P-233	-0.0075 -0.9938
S-437	રોજીદ[gu_IN]
T-437	rojid
H-437	-0.6471818685531616	
D-437	-0.6471818685531616	
P-437	-0.0073 -1.2870
S-496	ખેરી[gu_IN]
T-496	kheri
H-496	-0.8844504952430725	
D-496	-0.8844504952430725	
P-496	-0.0073 -1.7616
S-361	બીદસર[gu_IN]
T-361	bidsar
H-361	-1.091152548789978	
D-361	-1.091152548789978	
P-361	-0.0063 -2.1760
S-293	જુલાઇ[gu_IN]
T-293	july
H-293	-0.31996357440948486	
D-293	-0.31996357440948486	
P-293	-0.0079 -0.6320
S-38	પ્રોટોન[gu_IN]
T-38	proton
H-38	-0.5277325510978699	
D-38	-0.5277325510978699	
P-38	-0.0074 -1.0481
S-4	કાજળ[gu_IN]
T-4	kohl
H-4	-1.3345630168914795	
D-4	-1.3345630168914795	
P-4	-0.0077 -2.6614
S-678	પાતગઢ[gu_IN]
T-678	patgadh
H-678	-1.3283010721206665	
D-678	-1.3283010721206665	
P-678	-0.0070 -2.6496
S-427	ઓઢવા[gu_IN]
T-427	odhava
H-427	-0.7340182662010193	
D-427	-0.7340182662010193	
P-427	-0.0071 -1.4609
S-891	માયાવતી[gu_IN]
T-891	mayawati
H-891	-1.7367194890975952	
D-891	-1.7367194890975952	
P-891	-0.0066 -3.4668
S-200	આફ્રિકા[gu_IN]
T-200	africa
H-200	-0.5294706225395203	
D-200	-0.5294706225395203	
P-200	-0.0067 -1.0523
S-787	અરવલ[gu_IN]
T-787	arwal
H-787	-0.5740976333618164	
D-787	-0.5740976333618164	
P-787	-0.0068 -1.1414
S-900	થાનગઢ[gu_IN]
T-900	thangadh
H-900	-0.9225212931632996	
D-900	-0.9225212931632996	
P-900	-0.0067 -1.8383
S-272	શાહડોલ[gu_IN]
T-272	shahdol
H-272	-0.42879170179367065	
D-272	-0.42879170179367065	
P-272	-0.0073 -0.8503
S-18	સીતાપુર[gu_IN]
T-18	sitapur
H-18	-1.3693926334381104	
D-18	-1.3693926334381104	
P-18	-0.0068 -2.7319
S-36	આર્ગોન[gu_IN]
T-36	argon
H-36	-0.9923313856124878	
D-36	-0.9923313856124878	
P-36	-0.0068 -1.9778
S-325	ભડીયાદ[gu_IN]
T-325	bhadiad
H-325	-1.474117636680603	
D-325	-1.474117636680603	
P-325	-0.0073 -2.9409
S-304	ઓક્ટોબર૨૪[gu_IN]
T-304	october24
H-304	-0.6453456878662109	૨૪
D-304	-0.6453456878662109	૨૪
P-304	-0.0073 -1.0440 -1.6419 -0.4176 -0.1159
S-83	તવાનદી[gu_IN]
T-83	tawariver
H-83	-1.6790058612823486	નદી નદી
D-83	-1.6790058612823486	નદીનદી
P-83	-0.0064 -4.6701 -2.7807 -0.5534 -0.3845
S-650	રૂપકુંડ[gu_IN]
T-650	roopkund
H-650	-1.5802969932556152	
D-650	-1.5802969932556152	
P-650	-0.0065 -3.1541
S-604	દક્ષિણકોરિયા[gu_IN]
T-604	southkorea
H-604	-0.826076090335846	કોરિયા
D-604	-0.826076090335846	કોરિયા
P-604	-0.0071 -3.3676 -0.2534 -0.1900 -0.3122
S-410	ભરૂચ[gu_IN]
T-410	bharuch
H-410	-0.402351975440979	
D-410	-0.402351975440979	
P-410	-0.0070 -0.7977
S-409	માલધારી[gu_IN]
T-409	maldhari
H-409	-0.9334113001823425	
D-409	-0.9334113001823425	
P-409	-0.0069 -1.8599
S-798	ઓક્ટોબર૭[gu_IN]
T-798	october7
H-798	-1.190778136253357	૭
D-798	-1.190778136253357	૭
P-798	-0.0067 -1.3383 -2.0934 -2.4370 -0.0783
S-174	ગૌમુખ[gu_IN]
T-174	gomukh
H-174	-0.6697072386741638	
D-174	-0.6697072386741638	
P-174	-0.0077 -1.3317
S-342	જાન્યુઆરી૨૮[gu_IN]
T-342	january28
H-342	-0.5918398499488831	૨૮
D-342	-0.5918398499488831	૨૮
P-342	-0.0069 -2.2820 -0.4179 -0.0948 -0.1575
S-163	ભાલવિસ્તાર[gu_IN]
T-163	bhalregion
H-163	-0.8605600595474243	
D-163	-0.8605600595474243	
P-163	-0.0063 -1.7148
S-271	જેઠવા[gu_IN]
T-271	jethwa
H-271	-0.7620675563812256	
D-271	-0.7620675563812256	
P-271	-0.0078 -1.5163
S-903	ફેબ્રુઆરી૨૮[gu_IN]
T-903	february28
H-903	-0.456768274307251	૨૮
D-903	-0.456768274307251	૨૮
P-903	-0.0070 -1.6744 -0.3505 -0.1496 -0.1025
S-32	ઓક્ટોબર૧૫[gu_IN]
T-32	october15
H-32	-0.6922659277915955	૧૫
D-32	-0.6922659277915955	૧૫
P-32	-0.0073 -1.5711 -1.5882 -0.1627 -0.1320
S-222	રાષ્ટ્રીયયુવાદિન[gu_IN]
T-222	nationalyouthday
H-222	-0.41881006956100464	યુવા દિન
D-222	-0.41881006956100464	યુવાદિન
P-222	-0.0069 -1.3964 -0.0386 -0.0724 -0.5798
S-924	ભડવાણા[gu_IN]
T-924	bhadvana
H-924	-1.0433481931686401	
D-924	-1.0433481931686401	
P-924	-0.0072 -2.0794
S-800	અપરિગ્રહ[gu_IN]
T-800	aparigraha
H-800	-0.9762760400772095	
D-800	-0.9762760400772095	
P-800	-0.0063 -1.9463
S-796	નક્ષત્ર[gu_IN]
T-796	constellation
H-796	-0.22666126489639282	
D-796	-0.22666126489639282	
P-796	-0.0065 -0.4468
S-615	માછીમાર[gu_IN]
T-615	osprey
H-615	-0.4434312582015991	
D-615	-0.4434312582015991	
P-615	-0.0069 -0.8800
S-263	મહાગુજરાતઆંદોલન[gu_IN]
T-263	mahagujaratmovement
H-263	-1.7091833353042603	ગુજરાત આંદોલન
D-263	-1.7091833353042603	ગુજરાતઆંદોલન
P-263	-0.0067 -5.5812 -0.7505 -0.1170 -2.0906
S-151	પ્રાંતવેલ[gu_IN]
T-151	prantvel
H-151	-0.9185113310813904	
D-151	-0.9185113310813904	
P-151	-0.0066 -1.8304
S-471	અજમો[gu_IN]
T-471	ajwain
H-471	-0.6003060936927795	
D-471	-0.6003060936927795	
P-471	-0.0066 -1.1940
S-738	જાન્યુઆરી૧૪[gu_IN]
T-738	january14
H-738	-1.4612690210342407	૧૪
D-738	-1.4612690210342407	૧૪
P-738	-0.0069 -2.0319 -4.9105 -0.1999 -0.1572
S-297	અસ્તેય[gu_IN]
T-297	asteya
H-297	-1.038962483406067	
D-297	-1.038962483406067	
P-297	-0.0066 -2.0713
S-621	પ્રસાદ[gu_IN]
T-621	prasāda
H-621	-0.577720046043396	
D-621	-0.577720046043396	
P-621	-0.0078 -1.1477
S-561	ઝારી[gu_IN]
T-561	wateringcan
H-561	-1.0102484226226807	
D-561	-1.0102484226226807	
P-561	-0.0075 -2.0130
S-209	ઇન્દીવર[gu_IN]
T-209	indeevar
H-209	-0.9750451445579529	
D-209	-0.9750451445579529	
P-209	-0.0065 -1.9436
S-534	અસરગંજ[gu_IN]
T-534	asarganj
H-534	-0.7313545942306519	
D-534	-0.7313545942306519	
P-534	-0.0068 -1.4559
S-645	ફેબ્રુઆરી૭[gu_IN]
T-645	february7
H-645	-1.0642987489700317	૭
D-645	-1.0642987489700317	૭
P-645	-0.0069 -1.4052 -1.9675 -1.8657 -0.0761
S-767	શિવાજી[gu_IN]
T-767	shivaji
H-767	-1.0727876424789429	
D-767	-1.0727876424789429	
P-767	-0.0074 -2.1382
S-242	મામૂટી[gu_IN]
T-242	mammootty
H-242	-0.686328649520874	
D-242	-0.686328649520874	
P-242	-0.0072 -1.3655
S-784	ફુદીનો[gu_IN]
T-784	menthaarvensis
H-784	-1.324418544769287	
D-784	-1.324418544769287	
P-784	-0.0077 -2.6412
S-415	પીરોજ[gu_IN]
T-415	turquoise
H-415	-1.7701102495193481	
D-415	-1.7701102495193481	
P-415	-0.0071 -3.5331
S-653	ઓગસ્ટ૨૨[gu_IN]
T-653	august22
H-653	-0.7583476901054382	૨૨
D-653	-0.7583476901054382	૨૨
P-653	-0.0071 -2.7014 -0.4623 -0.3664 -0.2545
S-513	ઓગસ્ટ૨૩[gu_IN]
T-513	august23
H-513	-0.7102197408676147	૨૩
D-513	-0.7102197408676147	૨૩
P-513	-0.0070 -2.5034 -0.7010 -0.1111 -0.2287
S-864	ઉનાવા[gu_IN]
T-864	unava
H-864	-0.5162802338600159	
D-864	-0.5162802338600159	
P-864	-0.0074 -1.0252
S-129	ફિફાખેલાડી[gu_IN]
T-129	fifaplayer
H-129	-2.478574275970459	ખેલાડી
D-129	-2.478574275970459	ખેલાડી
P-129	-0.0067 -6.5567 -1.1494 -2.2015
S-205	વિજયરૂપાણી[gu_IN]
T-205	vijayrupani
H-205	-0.5822910070419312	રૂપાણી
D-205	-0.5822910070419312	રૂપાણી
P-205	-0.0071 -1.6053 -0.2886 -0.1093 -0.9011
S-479	માધાપર[gu_IN]
T-479	madhapar
H-479	-0.5109968185424805	
D-479	-0.5109968185424805	
P-479	-0.0069 -1.0151
S-922	સિક્કિમ[gu_IN]
T-922	sikkim
H-922	-0.9451708793640137	
D-922	-0.9451708793640137	
P-922	-0.0069 -1.8834
S-614	જમ્મુ[gu_IN]
T-614	jammudivision
H-614	-0.5280697345733643	
D-614	-0.5280697345733643	
P-614	-0.0073 -1.0489
S-658	બખરલા[gu_IN]
T-658	bakharla
H-658	-0.7447454929351807	
D-658	-0.7447454929351807	
P-658	-0.0067 -1.4827
S-625	ધોળકા[gu_IN]
T-625	dholka
H-625	-1.0577855110168457	
D-625	-1.0577855110168457	
P-625	-0.0074 -2.1082
S-449	સોપારી[gu_IN]
T-449	arecanut
H-449	-0.34834012389183044	
D-449	-0.34834012389183044	
P-449	-0.0068 -0.6899
S-486	ઉશનસ્[gu_IN]
T-486	ushnas
H-486	-0.6434724926948547	
D-486	-0.6434724926948547	
P-486	-0.0067 -1.2802
S-550	લોકશાહી[gu_IN]
T-550	democracy
H-550	-0.37214410305023193	
D-550	-0.37214410305023193	
P-550	-0.0068 -0.7375
S-255	ફુલરિન[gu_IN]
T-255	fullerene
H-255	-0.595335066318512	
D-255	-0.595335066318512	
P-255	-0.0077 -1.1830
S-904	નવલગઢ[gu_IN]
T-904	navalgadh
H-904	-1.3655179738998413	
D-904	-1.3655179738998413	
P-904	-0.0074 -2.7237
S-387	કાલાવડ[gu_IN]
T-387	kalavad
H-387	-0.680872917175293	
D-387	-0.680872917175293	
P-387	-0.0073 -1.3544
S-915	નેમિનાથ[gu_IN]
T-915	neminatha
H-915	-1.1586382389068604	
D-915	-1.1586382389068604	
P-915	-0.0069 -2.3103
S-559	ઓક્ટોબર૨૩[gu_IN]
T-559	october23
H-559	-0.6363387703895569	૨૩
D-559	-0.6363387703895569	૨૩
P-559	-0.0068 -2.1407 -0.6459 -0.1994 -0.1889
S-121	ઓક્ટોબર૧૬[gu_IN]
T-121	october16
H-121	-0.6174658536911011	૧૬
D-121	-0.6174658536911011	૧૬
P-121	-0.0071 -1.4391 -1.3378 -0.1738 -0.1295
S-772	ઓક્ટોબર૧૧[gu_IN]
T-772	october11
H-772	-0.7093382477760315	૧૧
D-772	-0.7093382477760315	૧૧
P-772	-0.0070 -1.2402 -1.8760 -0.3209 -0.1026
S-776	કાણોદર[gu_IN]
T-776	kanodar
H-776	-1.5043340921401978	
D-776	-1.5043340921401978	
P-776	-0.0072 -3.0015
S-760	ભારતીયઅર્થતંત્ર[gu_IN]
T-760	economyofindia
H-760	-0.34231752157211304	અર્થતંત્ર
D-760	-0.34231752157211304	અર્થતંત્ર
P-760	-0.0070 -0.9384 -0.0734 -0.0512 -0.6416
S-863	ભારતીયઅમેરિકનો[gu_IN]
T-863	indianamericans
H-863	-0.33133184909820557	અમેરિકનો
D-863	-0.33133184909820557	અમેરિકનો
P-863	-0.0072 -0.5843 -0.7249 -0.0483 -0.2919
S-598	શરણાઈ[gu_IN]
T-598	shehnai
H-598	-0.5912166833877563	
D-598	-0.5912166833877563	
P-598	-0.0072 -1.1753
S-911	તત્વજ્ઞાન[gu_IN]
T-911	philosophy
H-911	-1.0176867246627808	
D-911	-1.0176867246627808	
P-911	-0.0067 -2.0286
S-867	સાત્યકિ[gu_IN]
T-867	satyaki
H-867	-0.4706747531890869	
D-867	-0.4706747531890869	
P-867	-0.0071 -0.9343
S-506	વર્ગમૂળ[gu_IN]
T-506	squareroot
H-506	-0.539475679397583	
D-506	-0.539475679397583	
P-506	-0.0070 -1.0720
S-299	પંચામૃત[gu_IN]
T-299	panchamrita
H-299	-0.9908385872840881	
D-299	-0.9908385872840881	
P-299	-0.0068 -1.9748
S-305	ઓક્ટોબર૨૮[gu_IN]
T-305	october28
H-305	-0.46854010224342346	૨૮
D-305	-0.46854010224342346	૨૮
P-305	-0.0068 -1.7280 -0.3345 -0.1622 -0.1112
S-632	કોસીવિભાગ[gu_IN]
T-632	kosidivision
H-632	-1.8644282817840576	પંચાયત વિભાગ
D-632	-1.8644282817840576	પંચાયતવિભાગ
P-632	-0.0073 -7.7493 -1.1871 -0.0666 -0.3119
S-730	લાકડીયા[gu_IN]
T-730	lakadiya
H-730	-1.996117115020752	district district district
D-730	-1.996117115020752	districtdistrictdistrict
P-730	-0.0061 -6.8434 -1.7474 -2.4192 -0.6678 -0.2928
S-703	બામરોડા[gu_IN]
T-703	bamroda
H-703	-0.9486638307571411	
D-703	-0.9486638307571411	
P-703	-0.0074 -1.8900
S-845	ઇસ્લામ[gu_IN]
T-845	islam
H-845	-0.9666041135787964	
D-845	-0.9666041135787964	
P-845	-0.0076 -1.9256
S-312	ઇન્ડોનેશિયા[gu_IN]
T-312	indonesia
H-312	-0.5254727005958557	
D-312	-0.5254727005958557	
P-312	-0.0072 -1.0437
S-436	કર્કરાશી[gu_IN]
T-436	cancer
H-436	-1.4264639616012573	
D-436	-1.4264639616012573	
P-436	-0.0074 -2.8456
S-635	મનુષ્ય[gu_IN]
T-635	human
H-635	-1.038514256477356	મનુષ્ય
D-635	-1.038514256477356	મનુષ્ય
P-635	-0.0086 -5.9934 -1.0306 -0.0140 -0.0837 -0.0292 -0.1103
S-823	મુંગેર[gu_IN]
T-823	munger
H-823	-0.9608280062675476	
D-823	-0.9608280062675476	
P-823	-0.0082 -1.9135
S-455	ખીચીયું[gu_IN]
T-455	khichu
H-455	-1.452887773513794	ખીચીયું
D-455	-1.452887773513794	ખીચીયું
P-455	-0.0071 -7.3899 -0.2159 -0.0927 -0.1148 -0.8969
S-6	નાગવાડા[gu_IN]
T-6	nagwada
H-6	-1.7836618423461914	
D-6	-1.7836618423461914	
P-6	-0.0078 -3.5595
S-495	કુતિયાણા[gu_IN]
T-495	kutiyana
H-495	-0.517362117767334	
D-495	-0.517362117767334	
P-495	-0.0072 -1.0275
S-268	આયોડિન[gu_IN]
T-268	iodine
H-268	-0.6480075120925903	
D-268	-0.6480075120925903	
P-268	-0.0071 -1.2889
S-902	પાલીતાણા[gu_IN]
T-902	palitana
H-902	-0.4631865620613098	
D-902	-0.4631865620613098	
P-902	-0.0080 -0.9184
S-395	ક્ષયરોગ[gu_IN]
T-395	tuberculosis
H-395	-1.0407497882843018	ક્ષય રોગ
D-395	-1.0407497882843018	ક્ષયરોગ
P-395	-0.0066 -3.7146 -1.8895 -0.3355 -1.1719 -0.0870 -0.0802
S-101	સોક્રેટિસ[gu_IN]
T-101	socrates
H-101	-0.2101466804742813	
D-101	-0.2101466804742813	
P-101	-0.0076 -0.4127
S-674	પ્રાગમહેલ[gu_IN]
T-674	pragmahal
H-674	-1.6537336111068726	
D-674	-1.6537336111068726	
P-674	-0.0070 -3.3004
